epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,276.526,1.23899,0.85702,1.16536,0.71018,0.58947,0.66592,0.34127,1.68692,1.16583,1.43723,0.0011885,0.0011885,0.0011885
156,278.532,1.12084,0.83048,1.15137,0.71787,0.6,0.68306,0.34287,1.68275,1.16333,1.43704,0.00116375,0.00116375,0.00116375
157,281.161,1.13692,0.81905,1.14723,0.71787,0.6,0.68306,0.34287,1.68275,1.16333,1.43704,0.001139,0.001139,0.001139
158,282.718,1.15089,0.85098,1.16621,0.69264,0.6,0.67223,0.34988,1.66935,1.15999,1.43202,0.00111425,0.00111425,0.00111425
159,284.313,1.17294,0.86448,1.18731,0.64188,0.61579,0.65799,0.35437,1.65828,1.13356,1.42555,0.0010895,0.0010895,0.0010895
160,285.722,1.16061,0.87067,1.16859,0.64188,0.61579,0.65799,0.35437,1.65828,1.13356,1.42555,0.00106475,0.00106475,0.00106475
161,287.213,1.1753,0.83039,1.13257,0.67603,0.61579,0.66767,0.35947,1.66915,1.12844,1.43165,0.00104,0.00104,0.00104
162,288.832,1.19728,0.83757,1.14141,0.67603,0.61579,0.66767,0.35947,1.66915,1.12844,1.43165,0.00101525,0.00101525,0.00101525
163,290.287,1.13582,0.80882,1.1369,0.72031,0.60526,0.66919,0.3555,1.66659,1.12134,1.43531,0.0009905,0.0009905,0.0009905
164,292.319,1.15544,0.83273,1.1445,0.74536,0.54737,0.6616,0.35363,1.66706,1.11962,1.44469,0.00096575,0.00096575,0.00096575
165,294.667,1.19808,0.85676,1.17662,0.74536,0.54737,0.6616,0.35363,1.66706,1.11962,1.44469,0.000941,0.000941,0.000941
166,296.78,1.14802,0.87751,1.18274,0.74603,0.55263,0.65631,0.34862,1.68179,1.12915,1.46337,0.00091625,0.00091625,0.00091625
167,298.227,1.13547,0.83379,1.16827,0.61143,0.62942,0.64744,0.35144,1.68946,1.12966,1.46839,0.0008915,0.0008915,0.0008915
168,299.604,1.13124,0.80322,1.12559,0.61143,0.62942,0.64744,0.35144,1.68946,1.12966,1.46839,0.00086675,0.00086675,0.00086675
169,301.042,1.14982,0.81433,1.12926,0.63449,0.63158,0.65889,0.35693,1.66883,1.12553,1.44782,0.000842,0.000842,0.000842
170,302.515,1.17619,0.83947,1.14155,0.63449,0.63158,0.65889,0.35693,1.66883,1.12553,1.44782,0.00081725,0.00081725,0.00081725
171,304.15,1.19611,0.82456,1.13854,0.69395,0.57895,0.6681,0.36535,1.64265,1.11624,1.42489,0.0007925,0.0007925,0.0007925
172,306.099,1.12894,0.80394,1.13485,0.61689,0.67368,0.66857,0.37058,1.61866,1.10358,1.41328,0.00076775,0.00076775,0.00076775
173,308.706,1.10902,0.802,1.13924,0.61689,0.67368,0.66857,0.37058,1.61866,1.10358,1.41328,0.000743,0.000743,0.000743
174,310.428,1.14339,0.8131,1.13637,0.62908,0.65263,0.67479,0.37156,1.61335,1.09946,1.40718,0.00071825,0.00071825,0.00071825
175,311.92,1.1872,0.79677,1.13369,0.79376,0.53158,0.6798,0.37554,1.62119,1.09397,1.40981,0.0006935,0.0006935,0.0006935
176,313.444,1.15534,0.82346,1.13871,0.79376,0.53158,0.6798,0.37554,1.62119,1.09397,1.40981,0.00066875,0.00066875,0.00066875
177,314.87,1.1072,0.80096,1.14553,0.80614,0.52632,0.67768,0.37589,1.62777,1.07966,1.40798,0.000644,0.000644,0.000644
178,316.344,1.07098,0.7789,1.11368,0.80614,0.52632,0.67768,0.37589,1.62777,1.07966,1.40798,0.00061925,0.00061925,0.00061925
179,318.007,1.16112,0.80585,1.12027,0.76874,0.55988,0.67484,0.3731,1.63161,1.06979,1.40513,0.0005945,0.0005945,0.0005945
